ID,Monthly_Revenue
1,314.0820722837258
2,235.80605150828066
3,175.20676744095357
4,178.76323081962045
5,298.125250323149
6,133.6072689699726
7,132.94997807917147
8,291.9927721005045
9,163.65465976865693
10,274.12480399798847
11,179.90955309081872
12,145.29213286653763
13,374.8851684901809
14,312.56515183369714
15,123.3036152917487
16,274.47005025173894
17,126.26921264091608
18,354.95461008618526
19,367.6880486719785
20,172.0960589483943
21,339.72931597728115
22,400.1639821176762
23,256.9619331912365
24,353.72252258292616
25,148.12050339996776
26,304.2360510018649
27,365.5261566815787
28,251.00558696534335
29,151.0453147381305
30,190.71909871455023
31,319.7319331442484
32,257.0553564147237
33,213.3594089204941
34,273.759496903273
35,223.07832678227987
36,398.2971542244362
37,122.93144589914115
38,382.38732552208245
39,164.9578597785786
40,316.0457025335117
41,210.12186316059575
42,191.13876997427857
43,304.25759695233535
44,335.6030531997622
45,333.4403221793388
46,147.8610582852507
47,113.18490790352504
48,92.53201686535536
49,164.49282613626977
50,177.99304276984543
51,351.1843574229371
52,303.7359541904483
53,334.5633677157998
54,243.99017861307084
55,272.70567002018447
56,122.15196942607787
57,361.3033369460074
58,375.49737685700876
59,379.09321791246924
60,155.44782815769642
61,281.1303375619967
62,151.0879075525607
63,240.5649811649142
64,209.79138041306493
65,279.82799017199324
66,126.4509465251119
67,295.4397975086543
68,253.77222750569095
69,105.70578106670716
70,415.3659657630358
71,460.9839738682447
72,327.3690186230595
73,378.02969235533084
74,305.8377221216381
75,232.03719088944342
76,385.9307362816527
77,262.76809840821136
78,208.18238830469636
79,189.11736753614136
80,199.04525991730145
81,207.33755472909652
82,304.8688536387427
83,135.4173931771989
84,136.4129452458017
85,226.4525239707561
86,308.78501418975367
87,124.58575027314599
88,431.0188221984077
89,227.2713864017483
90,325.4725456701945
91,240.12680962035859
92,177.8121915933421
93,61.690437241842865
94,141.6896835642592
95,190.33902185053563
96,347.97668536630437
97,38.54260596674462
98,116.461516525048
99,266.9899568539523
100,379.5477871379695
101,343.31272427929235
102,316.8514791131569
103,343.6611091377111
104,367.75877773044976
105,342.7398284590649
106,282.63186593743063
107,269.1172475785067
108,329.7848440688664
109,304.03714464425394
110,189.327329549695
111,138.78925511724543
112,326.67883222838003
113,250.88458456316437
114,155.95169867963997
115,241.4755322107877
116,430.77641843009167
117,445.07440483942247
118,362.9745569559184
119,107.01791613379173
120,125.62017926633686
121,372.0461252038263
122,295.9903875477201
123,127.65589561753364
124,328.37578945664785
125,179.0714153747371
126,375.8091836188793
127,277.4215824012276
128,185.06973513037295
129,164.8592486419404
130,198.69756024322515
131,309.39576917796956
132,333.1591140262905
133,115.52860098805999
134,226.30129063858251
135,363.8050852494952
136,126.8581036070417
137,174.1862953783262
138,320.58352969036093
139,244.90567217470155
140,395.02135764293183
141,171.9225173568388
142,199.35159818586357
143,129.73629180796826
144,202.929394037434
145,450.3837980434323
146,169.58650725340905
147,217.78018395355866
148,349.88539034385
149,185.4711599171825
150,377.5498443863098
151,108.58733998201741
152,343.6834602565455
153,189.36992836034585
154,331.74426475618645
155,226.17757465883346
156,296.35887229139473
157,290.2048120173204
158,320.5101006502354
159,267.6889548217256
160,338.6891516666311
161,334.1006602459226
162,149.48949429708935
163,254.55615727148927
164,354.74984074460684
165,233.7470579626367
166,336.4013576736004
167,342.5310221249783
168,316.592162227926
169,381.08603615176605
170,199.3955004635516
171,373.289631413546
172,343.8603924415284
173,136.76941955989975
174,157.29423215542337
175,203.95201530133392
176,266.2982422680234
177,280.55233265437084
178,223.20372482902036
179,282.5656809267224
180,385.06270733557574
181,250.9506532377861
182,481.39248251260426
183,130.95144713487238
184,228.30631417887815
185,339.43975110028776
186,271.9340521857963
187,491.9880484319436
188,185.09845675025724
189,249.61774948720478
190,75.51161268430928
191,162.7050362244205
192,217.1239655543172
193,145.19723016759133
194,280.3439621163524
195,167.8523266890423
196,143.6873013832049
197,351.0123568550933
198,393.82823459471047
199,241.9316265247418
200,179.72636872484557
