ID,Monthly_Revenue
1,304.9790232271149
2,231.01957420483438
3,160.62137236433128
4,217.31141942788733
5,321.97629316985007
6,147.5785143211446
7,143.67825344790177
8,311.2250081204693
9,148.1825478694373
10,335.7942822805365
11,237.622913673451
12,150.71987045271672
13,381.7538759955363
14,302.99333017061304
15,127.30300228642074
16,276.8816461440145
17,122.30644538995234
18,308.7334248948967
19,370.1298149343474
20,184.03589199015912
21,300.98018081550254
22,361.2311239287093
23,272.2941800834332
24,347.4584417032198
25,163.73373591369082
26,236.69772858224482
27,383.0109089975774
28,161.6631897278405
29,148.5948888800164
30,216.48580551711729
31,345.73759692220733
32,275.93371478102006
33,202.47744254773926
34,262.1436484717208
35,239.82790798304788
36,405.1158801923746
37,127.38182129750949
38,384.76593041477105
39,174.91073571525123
40,330.61281296969685
41,230.3058315183219
42,178.94260270679865
43,297.16332446549825
44,319.1850284513884
45,288.0700589229697
46,184.2813325160606
47,121.91746967313584
48,128.63557493670373
49,149.4177708575348
50,179.57424467587694
51,351.0372953619021
52,241.516980804279
53,297.9779141432012
54,277.4945408288416
55,249.151478946249
56,196.4214182551584
57,395.5649785885524
58,385.5924296996109
59,340.1858902964297
60,156.58227757022576
61,235.74188215865723
62,127.41098143076925
63,272.20101799290035
64,239.14266376153293
65,274.51447149921654
66,140.68266500113785
67,272.474975143979
68,282.2204060239109
69,117.63273371011284
70,395.1046809833853
71,451.4034056957907
72,340.6409685773953
73,392.9764815247895
74,331.18783656254067
75,223.12474535306282
76,388.38880343661117
77,280.8657888889678
78,191.9322138468434
79,183.29707347659908
80,204.26256718923997
81,251.8064883317408
82,310.9308034972421
83,125.99066004397844
84,163.40657008467602
85,226.3818103098761
86,273.7672571266232
87,123.33551583954407
88,414.0551470271421
89,227.1882314508715
90,315.407889839779
91,244.43717566533383
92,165.19935617139674
93,70.17232408971302
94,140.66219100875904
95,200.76327274225892
96,345.1696521337251
97,129.38078788892392
98,116.16116823530419
99,277.0143657089297
100,380.30778373958486
101,319.3818088673408
102,306.3601122103408
103,316.45800416834345
104,370.425312880048
105,339.32531498578896
106,325.0472137337525
107,270.1463228035135
108,311.3033643392289
109,313.2383107088848
110,244.16178041529423
111,128.87484597877014
112,336.49990895100814
113,268.77797938322334
114,156.5000258938617
115,221.24884073292043
116,427.31908022494105
117,423.2855070129852
118,351.11833037341535
119,131.25998772303126
120,123.58134907089314
121,318.8666166409054
122,315.95898028060464
123,165.65674639647526
124,327.0342790923827
125,176.76653341188143
126,376.07033089842065
127,251.5973574453155
128,202.08168021056005
129,167.21360040131535
130,147.03934825949227
131,302.2158629589291
132,335.9617277138456
133,136.4421536117676
134,251.879783628717
135,340.29317119427384
136,126.68416720443079
137,183.29377058763373
138,317.45625982150204
139,252.14649573360035
140,365.7052997269518
141,153.64934959167587
142,184.25017698039704
143,172.30025185666761
144,227.80595467053246
145,464.63348184908216
146,136.66763319817375
147,192.23231813094276
148,354.04760379649
149,153.30763622328544
150,356.872409155415
151,189.4024297293056
152,291.44457286972505
153,154.44028498676096
154,300.1136665325136
155,234.02071203789907
156,302.3336209709664
157,305.78986537769686
158,309.2474818887811
159,282.8216836586591
160,327.932613616616
161,362.04781179412356
162,178.47257990689454
163,276.9821803789162
164,422.412264310843
165,225.89617217585902
166,328.3468266734544
167,300.8758683860033
168,302.4462267203597
169,386.7390405926967
170,197.94525972171886
171,341.8417257472268
172,337.5637196666688
173,111.4438055566906
174,188.45117305892617
175,215.68163183428862
176,289.5522362279614
177,266.9879203013418
178,221.20661694031512
179,276.82705292101394
180,375.10227794003254
181,287.80046163076247
182,482.95060438216495
183,126.07526910303895
184,244.1098821402485
185,344.91817435640337
186,276.43667825522556
187,430.44272823636095
188,207.02743349965033
189,224.89828303128053
190,106.1521355459767
191,183.51708691018928
192,230.69043536324602
193,152.01624273274197
194,291.0077625472413
195,135.19263926709402
196,138.34172336163203
197,315.1714614138319
198,406.4365652236185
199,261.5348127118115
200,141.33793439401774
